trial_number,score,avg_sharpe,avg_win_rate,avg_return,avg_profit_factor,avg_max_dd,successful_datasets,kama_length,fast_length,slow_length,atr_period,base_multiplier,adaptive_strength,knn_enabled,knn_k,knn_lookback,knn_feature_length,knn_weight,stop_loss_percent
0,,,,74.48468058463955,,-56.83591346837036,25,20,20,60,28,2.0,0.5,False,8,150,3,0.3,7.0
1,,,,107.58523669163064,,-55.061522250468606,25,15,10,40,21,3.0,1.0,False,5,50,5,0.1,6.0
2,,,,109.14566342927576,,-52.70544127553437,25,15,15,50,21,3.0,0.5,False,10,150,3,0.0,6.0
3,,,,110.6555578439724,,-52.0611967720866,25,20,10,50,21,3.5,1.0,True,8,100,3,0.3,6.0
4,,,,102.66963108351887,,-50.75584867526738,25,30,20,50,35,2.0,0.5,False,7,50,7,0.1,4.0
5,,,,71.90398751482327,,-42.969360964141906,25,25,10,60,21,3.5,2.0,True,9,150,7,0.3,3.0
6,,,,101.05939414151932,,-47.085331089735874,25,20,10,60,28,2.5,0.5,False,9,100,7,0.1,3.0
7,,,,94.36932272249004,,-50.88025993700513,25,25,20,50,35,2.5,1.5,True,5,50,5,0.1,5.0
8,,,,145.02910635753636,,-58.719619305780085,25,30,10,50,35,2.0,0.5,True,10,150,5,0.3,7.0
9,,,,97.83416204395552,,-50.34269469151724,25,15,20,50,35,3.5,1.0,False,7,150,7,0.0,5.0
10,,,,92.66146311750892,,-51.56618199946322,25,20,10,40,28,3.5,1.0,False,7,150,7,0.1,5.0
11,,,,187.1541173624346,,-50.42808913303231,25,20,10,40,28,3.0,0.5,False,6,50,5,0.3,4.0
12,,,,89.35150819374743,,-43.65107829211394,25,25,20,40,35,2.5,1.5,True,5,150,3,0.0,3.0
13,,,,100.41456618623444,,-45.342882848084926,25,25,20,40,28,2.0,1.5,False,7,150,3,0.1,3.0
14,,,,85.48558233433329,,-46.09127128858693,25,30,20,40,28,3.5,1.5,True,5,150,7,0.2,4.0
15,,,,75.31432453815798,,-49.20523461398892,25,20,20,60,35,3.5,1.5,False,10,100,3,0.0,6.0
16,,,,154.86667994036753,,-55.54516768797908,25,15,10,50,35,3.0,0.5,True,6,150,5,0.3,6.0
17,,,,74.26549687246983,,-52.48442797009508,25,25,10,50,21,2.0,2.0,False,8,150,5,0.2,5.0
18,,,,90.61547135724607,,-50.7299402841259,25,15,20,40,21,3.0,0.5,False,10,100,3,0.3,5.0
19,,,,37.623059802567184,,-42.43199349430698,25,30,20,60,21,2.5,2.0,True,8,150,7,0.2,3.0
