Symbol,Timeframe,Return%,Sharpe,MaxDD%,WinRate%,PF,#Trades
BTCUSDT,1h,-35.83,-0.51,-55.78,30.77,0.90,208
BTCUSDT,4h,4.82,0.05,-40.00,35.48,1.14,62
ETHUSDT,1h,-25.25,-0.26,-54.58,35.18,0.98,199
ETHUSDT,4h,-6.56,-0.05,-56.12,29.03,1.11,62
SOLUSDT,1h,-50.75,-0.46,-57.25,31.92,0.92,213
SOLUSDT,4h,153.79,0.42,-64.02,33.90,2.37,59
BNBUSDT,1h,-36.23,-0.49,-46.13,31.66,0.89,199
BNBUSDT,4h,35.64,0.24,-35.87,32.08,1.45,53
ADAUSDT,4h,81.90,0.29,-57.51,39.66,1.74,58
DOGEUSDT,4h,-10.09,-0.05,-51.02,29.31,1.21,58
